Project ID,Strategy Score,Risk Score,Risk - # of Vendors Contributing,Risk - Business Problem Clearly Defined,Risk - Business Processes Impacted,Risk - Impact to Key Financial Application,Risk - Level of User Change Management,Risk - Market,"Risk - New Product, Functionality or Service",Risk - Outside US or Marketing Area,Risk - Reputation or Shareholder Value Affected,Risk - Stand-Alone Project will Cost $10M,Type,Primary Support Strategy,Support for Reducing Costs,Support for Increased Productivity,Support for External Customers,Support for Internal Customers,Support for Competitive Differentiation,Mandatory?,Business Priority,Forced Rank,Risk Eval,Risk - Acceptance,Risk - Skills / Capability,Risk - Complexity,Risk - Product / Technology,Risk - Planning
RR-C40616268,64,73,High,Low,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Reducing Costs,Mandatory,Very Strong,Very Strong,Moderate,Strong,,,,50,Med,Low,High,Med,Low
RR-C40651272,36,63,High,Med,Low,Low,High,Low,Low,High,Low,High,Six Sigma Kaizen event,Support for Internal Customers,Very Strong,Strong,Strong,Mandatory,Moderate,,,,33,Low,Low,High,Low,Med
RR-C40915817,53,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for Internal Customers,Strong,Strong,Strong,Very Strong,Strong,,,,83,High,Med,Med,Low,Med
RR-C40940821,61,43,Low,Low,Med,Med,Low,Low,Med,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Weak,Very Strong,Strong,Strong,Moderate,No,,,50,Low,Med,Low,Med,Low
RR-C40969825,43,77,Med,Med,Low,High,Med,High,High,Med,High,Med,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Moderate,Strong,Strong,Very Strong,,,,67,High,Low,Med,High,Med
RR-C40969826,89,80,High,Med,Med,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Moderate,Very Strong,,,,67,Med,Med,High,Med,Med
RR-C41030476,55,73,High,Med,Med,Low,High,Med,Low,High,Med,High,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Strong,Strong,Moderate,Very Strong,No,,,67,Med,Med,High,Low,Med
RR-C41061834,89,80,High,Med,Med,Med,High,Med,Med,High,Med,High,Six Sigma Kaizen event,Support for Internal Customers,Weak,Weak,Weak,Strong,Weak,Yes,,,67,Med,Med,High,Med,Med
RR-D40910133,61,43,Low,Med,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Mandatory,Strong,Very Strong,Strong,Very Strong,No,,,50,Med,Low,Low,Low,Med
RR-E40210620,50,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Mandatory,Mandatory,Strong,Very Strong,Mandatory,Yes,,,33,Low,Low,Low,Low,Low
RR-E40911429,86,73,High,Low,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Reducing Costs,Mandatory,Very Strong,Very Strong,Moderate,Strong,,,,50,Med,Low,High,Med,Low
RR-F40911136,93,80,High,Med,Med,Med,High,Med,Med,High,Med,High,Six Sigma Kaizen event,Support for Internal Customers,Weak,Weak,Weak,Strong,Weak,Yes,,,67,Med,Med,High,Med,Med
RR-F41091835,59,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Strong,Weak,Strong,Very Strong,No,,,33,Low,Low,Low,Low,Low
RR-H40969824,56,80,High,Low,Low,High,High,Med,High,High,Med,High,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Strong,Weak,Moderate,Moderate,No,,,50,Med,Low,High,High,Low
RR-I41064482,77,67,High,Low,Low,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Strong,Very Strong,No,,,50,Med,Low,High,Low,Low
RR-L40911137,52,50,Low,Med,High,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Moderate,Mandatory,Strong,Weak,No,,,67,Low,High,Low,Med,Med
RR-N40451649,53,57,Med,Low,Med,Med,Med,Low,Med,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Moderate,Strong,No,,,50,Low,Med,Med,Med,Low
RR-N40911194,67,73,High,Med,Med,Med,High,Low,Med,High,Low,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Moderate,Weak,Strong,Strong,Very Strong,,,,50,Low,Med,High,Med,Med
RR-R40910128,69,77,Med,Med,Low,High,Med,High,High,Med,High,Med,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Moderate,Strong,Strong,Very Strong,,,,67,High,Low,Med,High,Med
RR-W41365868,40,70,High,Med,Low,Low,High,Med,Low,High,Med,High,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Weak,Weak,Weak,,,,50,Med,Low,High,Low,Med
TM-C40665277,34,77,Med,Med,Low,High,Med,High,High,Med,High,Med,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Moderate,Strong,Strong,Very Strong,,,,67,High,Low,Med,High,Med
TM-C4090981,90,80,High,Med,Med,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Moderate,Very Strong,,,,67,Med,Med,High,Med,Med
TM-E40923140,89,80,High,Med,Med,Med,High,Med,Med,High,Med,High,Six Sigma Kaizen event,Support for Internal Customers,Weak,Weak,Weak,Strong,Weak,Yes,,,67,Med,Med,High,Med,Med
TM-E40940822,86,70,Med,High,Med,High,Med,Low,High,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Mandatory,Very Strong,,,,50,Low,Med,Med,High,High
TM-E40946156,33,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Moderate,Weak,Moderate,No,,,33,Low,Low,Low,Low,Low
TM-E41395538,87,77,Med,Med,Low,High,Med,High,High,Med,High,Med,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Moderate,Strong,Strong,Very Strong,,,,67,High,Low,Med,High,Med
TM-F40287631,76,50,Low,Med,High,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Moderate,Mandatory,Strong,Weak,No,,,67,Low,High,Low,Med,Med
TM-F40287631,76,50,Low,Med,High,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Moderate,Mandatory,Strong,Weak,No,,,67,Low,High,Low,Med,Med
TM-L39909243,56,30,-,High,-,-,-,High,-,-,High,-,Six Sigma Kaizen event,Support for Reducing Costs,Very Strong,Strong,Moderate,Strong,Weak,No,,,50,High,-,-,-,High
TM-L40695279,53,57,Low,Med,High,Med,Low,Med,Med,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,Weak,Yes,,,83,Med,High,Low,Med,Med
TM-P39817608,28,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Mandatory,Mandatory,Strong,Very Strong,Mandatory,Yes,,,33,Low,Low,Low,Low,Low
TM-P40301636,54,73,High,Med,Med,Med,High,Low,Med,High,Low,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Moderate,Weak,Strong,Strong,Very Strong,,,,50,Low,Med,High,Med,Med
TM-R40910129,64,63,High,Med,Low,Low,High,Low,Low,High,Low,High,Six Sigma Kaizen event,Support for Internal Customers,Very Strong,Strong,Strong,Mandatory,Moderate,,,,33,Low,Low,High,Low,Med
TM-U40969459,36,47,Low,Low,Low,Med,Low,Med,Med,Low,Med,Low,IT Waterfall traditional implementation,Support for Reducing Costs,Very Strong,Moderate,Strong,Weak,Moderate,No,,,50,Med,Low,Low,Med,Low
TP-B40911434,53,60,High,Low,Low,Low,High,Low,Low,High,Low,High,IT Waterfall traditional implementation,Support for Increased Productivity,Moderate,Strong,Moderate,Weak,Moderate,Yes,,,33,Low,Low,High,Low,Low
TP-B40994465,78,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Mandatory,Mandatory,Very Strong,Very Strong,,,,83,High,Med,Med,Low,Med
TP-C40911221,27,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Moderate,Weak,Moderate,Moderate,Moderate,,,,33,Low,Low,Low,Low,Low
TP-E40946456,24,30,-,High,-,-,-,High,-,-,High,-,Six Sigma Kaizen event,Support for Reducing Costs,Very Strong,Strong,Moderate,Strong,Weak,No,,,50,High,-,-,-,High
TP-I40909343,45,80,High,Med,Med,Med,High,Med,Med,High,Med,High,Six Sigma Kaizen event,Support for Internal Customers,Weak,Weak,Weak,Strong,Weak,Yes,,,67,Med,Med,High,Med,Med
TP-I40994464,54,73,High,Low,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Reducing Costs,Mandatory,Very Strong,Very Strong,Moderate,Strong,,,,50,Med,Low,High,Med,Low
TP-I41000208,39,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for Internal Customers,Strong,Strong,Strong,Very Strong,Strong,,,,83,High,Med,Med,Low,Med
TP-I41275506,76,53,Med,Med,Med,Low,Med,Low,Low,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Moderate,Strong,Strong,Strong,Weak,,,,50,Low,Med,Med,Low,Med
TP-M40931447,90,77,Med,Low,Med,High,Med,High,High,Med,High,Med,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Strong,Weak,Weak,Weak,No,,,83,High,Med,Med,High,Low
TP-R40909342,54,67,High,Low,Low,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Strong,Very Strong,No,,,50,Med,Low,High,Low,Low
TP-S40672278,56,80,High,High,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Very Strong,Weak,Moderate,Very Strong,Yes,,,50,Med,Low,High,Med,High
TR-A40232212,88,77,High,High,Med,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for External Customers,Strong,Moderate,Strong,Weak,Moderate,,,,67,Med,Med,High,Low,High
TR-B41001471,26,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Weak,Weak,Moderate,Moderate,Moderate,No,,,33,Low,Low,Low,Low,Low
TR-C39944246,37,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Mandatory,Mandatory,Strong,Very Strong,Mandatory,Yes,,,33,Low,Low,Low,Low,Low
TR-C4071447,63,53,Med,Med,Med,Low,Med,Low,Low,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Moderate,Strong,Strong,Strong,Weak,,,,50,Low,Med,Med,Low,Med
TR-C41365534,52,43,Low,Med,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Mandatory,Strong,Very Strong,Strong,Very Strong,No,,,50,Med,Low,Low,Low,Med
TR-D40413251,76,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Mandatory,Mandatory,Very Strong,Very Strong,,,,83,High,Med,Med,Low,Med
TR-D41000467,59,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Weak,Weak,Moderate,Moderate,Moderate,No,,,33,Low,Low,Low,Low,Low
TR-D41091483,42,77,Med,Med,Low,High,Med,High,High,Med,High,Med,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Moderate,Strong,Strong,Very Strong,,,,67,High,Low,Med,High,Med
TR-D41091484,59,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Moderate,Weak,Moderate,Moderate,Moderate,,,,33,Low,Low,Low,Low,Low
TR-D41320532,33,40,Low,Low,Low,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for Internal Customers,Moderate,Very Strong,Moderate,Mandatory,Moderate,,,,33,Low,Low,Low,Med,Low
TR-D41365536,77,63,High,Med,Low,Low,High,Low,Low,High,Low,High,Six Sigma Kaizen event,Support for Internal Customers,Very Strong,Strong,Strong,Mandatory,Moderate,,,,33,Low,Low,High,Low,Med
TR-D41424184,53,63,High,Med,Low,Low,High,Low,Low,High,Low,High,Six Sigma Kaizen event,Support for Internal Customers,Very Strong,Strong,Strong,Mandatory,Moderate,,,,33,Low,Low,High,Low,Med
TR-E40925142,36,43,Low,Low,Med,Med,Low,Low,Med,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Weak,Very Strong,Strong,Strong,Moderate,No,,,50,Low,Med,Low,Med,Low
TR-E41153488,41,73,High,Low,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Reducing Costs,Mandatory,Very Strong,Very Strong,Moderate,Strong,,,,50,Med,Low,High,Med,Low
TR-E41289528,76,57,Low,Med,High,Med,Low,Med,Med,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,Weak,Yes,,,83,Med,High,Low,Med,Med
TR-H40911139,74,40,Low,Low,Low,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for Internal Customers,Moderate,Very Strong,Moderate,Mandatory,Moderate,,,,33,Low,Low,Low,Med,Low
TR-H41306530,87,73,High,Low,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Reducing Costs,Mandatory,Very Strong,Very Strong,Moderate,Strong,,,,50,Med,Low,High,Med,Low
TR-H41365537,34,40,Low,Low,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for External Customers,Moderate,Weak,Mandatory,Weak,Strong,,,,50,Med,Low,Low,Low,Low
TR-I40911433,63,77,Med,Med,Low,High,Med,High,High,Med,High,Med,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Moderate,Strong,Strong,Very Strong,,,,67,High,Low,Med,High,Med
TR-I41091485,35,40,Low,Low,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for External Customers,Moderate,Weak,Mandatory,Weak,Strong,,,,50,Med,Low,Low,Low,Low
TR-I41183492,92,80,High,Low,Low,High,High,Med,High,High,Med,High,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Strong,Weak,Moderate,Moderate,No,,,50,Med,Low,High,High,Low
TR-I41456542,55,77,High,High,Med,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for External Customers,Strong,Moderate,Strong,Weak,Moderate,,,,67,Med,Med,High,Low,High
TR-L41275519,51,40,Med,Low,Low,Low,Med,-,Low,Med,-,Med,Six Sigma Kaizen event,Support for Reducing Costs,Mandatory,Very Strong,Strong,Strong,Strong,,,,17,-,Low,Med,Low,Low
TR-M41426540,62,50,Low,Med,High,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Moderate,Mandatory,Strong,Weak,No,,,67,Low,High,Low,Med,Med
TR-N41335533,59,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Moderate,Weak,Moderate,Moderate,Moderate,,,,33,Low,Low,Low,Low,Low
TR-P41365535,65,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Mandatory,Mandatory,Very Strong,Very Strong,,,,83,High,Med,Med,Low,Med
TR-S40315248,32,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Moderate,Weak,Moderate,Moderate,Moderate,,,,33,Low,Low,Low,Low,Low
TR-S40637270,86,70,High,Med,Low,Low,High,Med,Low,High,Med,High,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Weak,Weak,Weak,,,,50,Med,Low,High,Low,Med
TR-U41426539,33,80,High,Med,Med,Med,High,Med,Med,High,Med,High,Six Sigma Kaizen event,Support for Internal Customers,Weak,Weak,Weak,Strong,Weak,Yes,,,67,Med,Med,High,Med,Med
TR-V41320183,55,77,Med,Med,Low,High,Med,High,High,Med,High,Med,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Moderate,Strong,Strong,Very Strong,,,,67,High,Low,Med,High,Med
TS-C40546673,53,67,High,Low,Low,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Strong,Very Strong,No,,,50,Med,Low,High,Low,Low
TS-C40848727,87,73,High,Low,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Reducing Costs,Mandatory,Very Strong,Very Strong,Moderate,Strong,,,,50,Med,Low,High,Med,Low
WM-A39442602,87,73,High,Med,Med,Med,High,Low,Med,High,Low,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Moderate,Weak,Strong,Strong,Very Strong,,,,50,Low,Med,High,Med,Med
WM-A40771291,50,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Moderate,Weak,Moderate,Moderate,Moderate,,,,33,Low,Low,Low,Low,Low
WM-A40923445,51,40,Low,Low,Low,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for Internal Customers,Moderate,Very Strong,Moderate,Mandatory,Moderate,,,,33,Low,Low,Low,Med,Low
WM-B40603690,71,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Moderate,Weak,Moderate,No,,,33,Low,Low,Low,Low,Low
WM-B4087964,75,43,Low,Low,Med,Med,Low,Low,Med,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Weak,Very Strong,Strong,Strong,Moderate,No,,,50,Low,Med,Low,Med,Low
WM-B40909324,51,40,Low,Low,Low,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for Internal Customers,Moderate,Very Strong,Moderate,Mandatory,Moderate,,,,33,Low,Low,Low,Med,Low
WM-C40546674,77,63,High,Med,Low,Low,High,Low,Low,High,Low,High,Six Sigma Kaizen event,Support for Internal Customers,Very Strong,Strong,Strong,Mandatory,Moderate,,,,33,Low,Low,High,Low,Med
WM-C40603684,35,57,Low,Med,High,Med,Low,Med,Med,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,Weak,Yes,,,83,Med,High,Low,Med,Med
WM-C40603688,43,77,High,High,Med,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for External Customers,Strong,Moderate,Strong,Weak,Moderate,,,,67,Med,Med,High,Low,High
WM-C40725704,81,67,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,IT Waterfall traditional implementation,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,[None],No,,,67,Med,Med,Med,Med,Med
WM-D40772292,39,70,High,Med,Low,Low,High,Med,Low,High,Med,High,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Weak,Weak,Weak,,,,50,Med,Low,High,Low,Med
WM-D40817305,50,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Moderate,Weak,Moderate,No,,,33,Low,Low,Low,Low,Low
WM-D40882317,53,63,High,Med,Low,Low,High,Low,Low,High,Low,High,Six Sigma Kaizen event,Support for Internal Customers,Very Strong,Strong,Strong,Mandatory,Moderate,,,,33,Low,Low,High,Low,Med
WM-D40909219,60,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Moderate,Weak,Moderate,Moderate,Moderate,,,,33,Low,Low,Low,Low,Low
WM-D40909365,71,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Moderate,Weak,Moderate,Moderate,Moderate,,,,33,Low,Low,Low,Low,Low
WM-D40909371,39,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for Internal Customers,Strong,Strong,Strong,Very Strong,Strong,,,,83,High,Med,Med,Low,Med
WM-D40909401,89,80,High,Med,Med,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Moderate,Very Strong,,,,67,Med,Med,High,Med,Med
WM-D41001169,91,80,High,High,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Very Strong,Weak,Moderate,Very Strong,Yes,,,50,Med,Low,High,Med,High
WM-D41061479,37,57,Med,Low,Med,Med,Med,Low,Med,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Moderate,Strong,No,,,50,Low,Med,Med,Med,Low
WM-E40420648,62,70,High,Med,Low,Low,High,Med,Low,High,Med,High,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Weak,Weak,Weak,,,,50,Med,Low,High,Low,Med
WM-E40909372,55,77,Med,Med,Low,High,Med,High,High,Med,High,Med,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Moderate,Strong,Strong,Very Strong,,,,67,High,Low,Med,High,Med
WM-E4090982,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM-E40946155,36,47,Low,Low,Low,Med,Low,Med,Med,Low,Med,Low,IT Waterfall traditional implementation,Support for Reducing Costs,Very Strong,Moderate,Strong,Weak,Moderate,No,,,50,Med,Low,Low,Med,Low
WM-E41306867,60,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Moderate,Weak,Moderate,No,,,33,Low,Low,Low,Low,Low
WM-F39861612,38,80,High,High,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Very Strong,Weak,Moderate,Very Strong,Yes,,,50,Med,Low,High,Med,High
WM-F41306531,83,70,High,Med,Low,Low,High,Med,Low,High,Med,High,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Weak,Weak,Weak,,,,50,Med,Low,High,Low,Med
WM-G40909335,78,67,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,IT Waterfall traditional implementation,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,[None],No,,,67,Med,Med,Med,Med,Med
WM-I38845230,73,80,High,High,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Very Strong,Weak,Moderate,Very Strong,Yes,,,50,Med,Low,High,Med,High
WM-I40909364,37,60,High,Low,Low,Low,High,Low,Low,High,Low,High,IT Waterfall traditional implementation,Support for Increased Productivity,Moderate,Strong,Moderate,Weak,Moderate,Yes,,,33,Low,Low,High,Low,Low
WM-L40483653,74,40,Low,Low,Low,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for Internal Customers,Moderate,Very Strong,Moderate,Mandatory,Moderate,,,,33,Low,Low,Low,Med,Low
WM-L40940449,64,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Mandatory,Mandatory,Very Strong,Very Strong,,,,83,High,Med,Med,Low,Med
WM-O40179247,62,47,Low,Low,Low,Med,Low,Med,Med,Low,Med,Low,IT Waterfall traditional implementation,Support for Reducing Costs,Very Strong,Moderate,Strong,Weak,Moderate,No,,,50,Med,Low,Low,Med,Low
WM-O40513658,65,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for Internal Customers,Strong,Strong,Strong,Very Strong,Strong,,,,83,High,Med,Med,Low,Med
WM-O40777293,53,67,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,IT Waterfall traditional implementation,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,[None],No,,,67,Med,Med,Med,Med,Med
WM-O40787299,63,63,High,Med,Low,Low,High,Low,Low,High,Low,High,Six Sigma Kaizen event,Support for Internal Customers,Very Strong,Strong,Strong,Mandatory,Moderate,,,,33,Low,Low,High,Low,Med
WM-O40910424,54,70,High,Med,Low,Low,High,Med,Low,High,Med,High,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Weak,Weak,Weak,,,,50,Med,Low,High,Low,Med
WM-O41000469,69,77,High,High,Med,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for External Customers,Strong,Moderate,Strong,Weak,Moderate,,,,67,Med,Med,High,Low,High
WM-R40492657,33,50,Low,Med,High,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Moderate,Mandatory,Strong,Weak,No,,,67,Low,High,Low,Med,Med
WM-R40545668,76,50,Low,Med,High,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Moderate,Mandatory,Strong,Weak,No,,,67,Low,High,Low,Med,Med
WM-R4055830,63,60,High,Low,Low,Low,High,Low,Low,High,Low,High,IT Waterfall traditional implementation,Support for Increased Productivity,Moderate,Strong,Moderate,Weak,Moderate,Yes,,,33,Low,Low,High,Low,Low
WM-R40909334,59,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Mandatory,Mandatory,Strong,Very Strong,Mandatory,Yes,,,33,Low,Low,Low,Low,Low
WM-R40910123,42,80,High,Med,Med,Med,High,Med,Med,High,Med,High,Six Sigma Kaizen event,Support for Internal Customers,Weak,Weak,Weak,Strong,Weak,Yes,,,67,Med,Med,High,Med,Med
WM-R40910811,35,40,Low,Low,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for External Customers,Moderate,Weak,Mandatory,Weak,Strong,,,,50,Med,Low,Low,Low,Low
WM-R40940455,73,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Mandatory,Mandatory,Strong,Very Strong,Mandatory,Yes,,,33,Low,Low,Low,Low,Low
WM-R40940455,73,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Mandatory,Mandatory,Strong,Very Strong,Mandatory,Yes,,,33,Low,Low,Low,Low,Low
WM-S40909357,47,30,-,High,-,-,-,High,-,-,High,-,Six Sigma Kaizen event,Support for Reducing Costs,Very Strong,Strong,Moderate,Strong,Weak,No,,,50,High,-,-,-,High
WM-S4090986,92,80,High,High,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Very Strong,Weak,Moderate,Very Strong,Yes,,,50,Med,Low,High,Med,High
WM-T4090977,63,57,Med,Low,Med,Med,Med,Low,Med,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Moderate,Strong,No,,,50,Low,Med,Med,Med,Low
WM-U41061480,76,53,Med,Med,Med,Low,Med,Low,Low,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Moderate,Strong,Strong,Strong,Weak,,,,50,Low,Med,Med,Low,Med
WM-U42019549,93,80,High,Med,Med,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Moderate,Very Strong,,,,67,Med,Med,High,Med,Med
WM-W39435601,73,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Very Strong,Moderate,Very Strong,Mandatory,,,,33,Low,Low,Low,Low,Low
